hospital,type,gpr,npr,other.op.rev,tot.op.rev,tot.op.exp,op.income,op.margin,net.non.op.rev,net.income,tot.margin,charity.care,bad.debt,tot.uncomp.care
Mid-Columbia Medical Center,,190236380,94199039,5072908,99271947,97731540,1540407,1.55170422919176%,-457258,1083149,1.09614168800349%,6318221,5124869,11443090
OHSU Hospital,,2180118584,1121234589,56345992,1177580581,1096631813,80948767,6.87415946781819%,22029003,102977771,8.58427378152724%,72661154,39218608,111879762
PeaceHealth Cottage Grove Community Hospital,,34004848,26775495,973362,27748857,31079739,-3330882,-12.0036727999283%,101311,-3229571,-11.596235254308%,1504921,1671697,3176618
PeaceHealth Peace Harbor Hospital,,88665757,62444575,3732439,66177014,59865460,6311554,9.53738106104334%,171294,6482848,9.77093191283793%,4405851,2868592,7274443
PeaceHealth Sacred Heart-Riverbend,,1049689241,552460245,18086645,570546890,541491333,29055557,5.09258003316783%,1632477,30688034,5.3633590740786%,44606106,27180190,71786296
PeaceHealth Sacred Heart-University District,,167175333,99902066,4044557,103946623,106180836,-2234213,-2.1493848818927%,257231,-1976982,-1.89722541356292%,9279451,7028317,16307768
Pioneer Memorial Hospital-Heppner,,7075040,6569829,171958,6741787,7654454,-912667,-13.5374641767828%,1378102,465435,5.7320364847352%,141858,134752,276610
Pioneer Memorial Hospital-Prineville,,44587015,24216398,487055,24703453,26632635,-1929182,-7.80936171149839%,52476,-1876706,-7.5808344740365%,2076927,2039379,4116306
Providence Hood River Memorial Hospital,,111605391,67097032,400190,67497222,65458292,2038930,3.02076135814893%,3097,2042027,3.02521088826262%,5820173,1332570,7152743
Providence Medford Medical Center,,426075740,157568911,4073902,161642813,156416584,5226229,3.23319602214544%,44988,5271217,3.26012040945501%,25030937,6323655,31354592
Providence Milwaukie Hospital,,172688582,86175425,655331,86830756,81155850,5674906,6.53559436934996%,0,5674906,6.53559436934996%,12500807,3716184,16216991
Providence Newberg Medical Center,,157756352,81407486,3064604,84472090,80399229,4072861,4.82154638295323%,0,4072861,4.82154638295323%,10184361,2414293,12598654
Providence Portland Medical Center,,1167745634,588750854,41661314,630412168,622036587,8375581,1.32858809286181%,37577,8413158,1.33446925258095%,61608201,12937236,74545437
Providence Seaside Hospital,,83392048,44785314,1143674,45928988,45486585,442403,0.963232632079766%,0,442403,0.963232632079766%,5731632,1686233,7417865
Providence St. Vincent Medical Center,,1378380363,760034412,18380255,778414667,709179052,69235615,8.89443865013916%,-1313761,67921854,8.74041626712503%,63896140,13070822,76966962
Providence Willamette Falls Medical Center,,181678362,88847500,3227656,92075156,92071722,3434,0.00372956196783419%,0,3434,0.00372956196783419%,7828581,5289214,13117795
Salem Hospital,,1041585580,497447604,21914603,519362207,514736692,4625515,0.890614476305166%,26967553,31593068,5.7827836433439%,44313471,38351564,82665035
Samaritan Albany General Hospital,,232775139,120408639,8645442,129054081,126812162,2241919,1.737193417386%,1098284,3340203,2.56637902814905%,7607638,6027016,13634654
Samaritan Lebanon Community Hospital,,155305181,78661975,4737202,83399177,81906048,1493129,1.79034020923252%,1473727,2966856,3.4956456774473%,5629063,6238676,11867739
Samaritan North Lincoln Hospital,,79648118,40968165,2651725,43619890,44363585,-743695,-1.70494469380826%,406671,-337024,-0.765501534403289%,3033663,3473003,6506666
Samaritan Pacific Communities Hospital,,116554836,62208961,2221173,64430134,62585454,1844680,2.86307025218976%,278088,2122768,3.28052283680426%,4310896,4279773,8590669
Santiam Memorial Hospital,,60097445,30838474,1244226,32082700,29915972,2166728,6.75357123932836%,98585,2265313,7.03922481653545%,1475656,3187046,4662702
Silverton Hospital,,192352294,96745526,4799730,101545256,104562976,-3017720,-2.97179811137607%,135024,-2882696,-2.83505906946755%,10109099,6183167,16292266
Sky Lakes Medical Center,,395065074,164379803,6476338,170856141,155732173,15123968,8.85187264062109%,1858036,16982004,9.83243199543486%,13845247,13895839,27741086
Southern Coos Hospital and Health Center,,20104915,13505536,216748,13722284,14301959,-579675,-4.22433320866993%,828411,248736,1.70944411933588%,385161,1378331,1763492
St. Alphonsus Medical Center-Baker City,,49844000,30980000,242000,31222000,30284000,938000,3.00429184549356%,-116000,822000,2.642576994792%,1540000,1841000,3381000
St. Alphonsus Medical Center-Ontario,,130115229,59455828,2225897,61681724,60867252,814473,1.32044461014092%,-282779,531693,0.865964390756226%,5320034,2690235,8010268
St. Anthony Hospital,,97025851,51918736,891386,52810122,44647032,8163090,15.4574344668244%,356544,8519634,16.0243901695848%,3342460,4790473,8132933
St. Charles Medical Center-Bend,,782763986,365059709,35481720,400541429,370285346,30256083,7.55379613927527%,424705,30680788,7.65171554363741%,27602641,17067609,44670250
St. Charles Medical Center-Madras,,42431118,23788672,1313674,25102346,25314157,-211811,-0.843789660137742%,-2500748,-2712559,-12.001624840863%,454277,2488792,2943069
St. Charles Medical Center-Redmond,,116803063,61290979,8004203,69295182,67650122,1645060,2.37398900258318%,-50434,1594626,2.30288367862932%,5681632,4158022,9839654
Tillamook County General Hospital,,87209000,51744000,699000,52443000,53879000,-1436000,-2.73821101004901%,1543000,107000,0.198199533212314%,6361000,1170000,7531000
Tuality Healthcare,,378087289,154437200,12242400,166679600,166846600,-167000,-0.100192225083334%,-960900,-1127900,-0.680611180271146%,9652989,15275900,24928889
Wallowa Memorial Hospital,,20826547,17053133,352019,17405152,17137002,268150,1.54063578416322%,1238571,1506721,8.08165300460643%,346608,381035,727643
West Valley Community Hospital,,35267850,19440210,848321,20288531,18972584,1315947,6.48616205875132%,2220,1318167,6.49639335675648%,1958159,2347204,4305363
Willamette Valley Medical Center,,277264253,86805645,349501,87155146,60764078,26391068,30.2805619762257%,-13345303,13045765,17.6748309842632%,943523,7098569,8042092
