hospital,charity.care,bad.debt,tot.uncomp.care,type,gpr,npr,tot.op.rev,tot.op.exp,other.op.rev,op.income,op.margin,net.non.op.rev,net.income,tot.margin
Providence Portland Medical Center,73015786,14228237,87244023,DRG,1116621366,586054184,621263326,593644429,35209142,27618896,4.44%,2726624,30345521,4.88%
Providence Seaside Hospital,5748522,1091338,6839860,B,70613352,43718339,44369782,43610095,651443,759686,1.71%,108329,868015,1.95%
Providence St Vincent Medical Center,70603385,13780272,84383657,DRG,1277933534,703173625,722762542,662106673,19588917,60655869,8.39%,21009378,81665247,11.29%
Providence Willamette Falls,14935604,4376345,19311949,DRG,195500619,90722264,94678260,98886468,3955996,-4208207,-4.44%,908715,-3299493,-3.48%
Rogue Valley Medical Center,39267695,4457343,43725038,DRG,774762744,337505646,352319635,323952328,10101989,28367307,8.05%,9625000,37992307,10.78%
Sacred Heart Medical Center University District,8281247,6962478,15243725,DRG,108809602,61190962,62598014,77514862,1407052,-14916848,-23.82%,895232,-14021616,-22.39%
Sacred Heart RiverBend,37136224,27699457,64835681,DRG,879604150,492092896,500679321,481671479,8586425,19007842,3.79%,6025602,25033444,4.99%
Saint Alphonsus Holy Rosary,4636537,3927596,8564133,A,126555187,62240619,64116929,58651621,1876310,5465308,8.52%,1291075,6756383,10.53%
Saint Alphonsus St. Elizabeth,1402482,2531891,3934373,A,47230027,27339954,27453475,27166115,113521,287360,1.04%,-36844,250516,0.91%
Salem Hospital,48412506,31051057,79463563,DRG,974254643,519530567,537160060,521048225,17629493,16111835,2.99%,10390894,26502729,4.93%
Samaritan Albany General Hospital,6484718,6245321,12730039,DRG,194677565,109457449,117849683,114495159,8392234,3354524,2.85%,911310,4265834,3.62%
Samaritan Lebanon Community Hospital,6254935,5683327,11938262,B,136532868,76665149,78083606,77946438,1418457,137168,0.18%,442206,579374,0.74%
Samaritan North Lincoln Hospital,3015038,4081362,7096400,B,76796593,46160627,47794484,46589131,1633856,1205352,2.52%,59900,1265252,2.65%
Samaritan Pacific Community Hospital,3702060,3858103,7560163,B,111642272,65878364,68027692,66006599,2149328,2021093,2.97%,221620,2242713,3.3%
Santiam Memorial Hospital,1061623,3444404,4506027,B,48836074,29538276,29799071,28409963,260795,1389108,4.66%,103643,1492751,5%
Silverton Hospital,12094170,5033353,17127523,B,176166817,88906165,92853897,89445656,3947732,3408241,3.67%,-309662,3098579,3.33%
Sky Lakes Medical Center,12728916,15958330,28687246,DRG,333889410,162917540,168043962,155187548,5126422,12856414,7.65%,1356361,14212775,8.46%
Southern Coos Health District,334575,1387354,1721929,B,21548160,15114366,15128633,15465022,14267,-336389,-2.22%,584403,248014,1.63%
St Anthony Hospital,4178000,3238000,7416000,A,86901000,49892000,51732000,44512000,1754000,7220000,13.95%,5360000,12580000,24.31%
St Charles Medical Center-Bend,31709864,13104635,44814499,DRG,671458348,338310960,368928724,347756991,30617764,21171733,5.73%,-1953398,19218335,5.2%
St Charles Medical Center-Redmond,5606601,3665531,9272132,B,90852147,53981680,60057217,58922209,6075537,1135008,1.88%,-477615,657393,1.09%
Three Rivers Community Hospital,22694261,3734560,26428821,DRG,312168829,127295928,128454669,121542761,1158741,6911908,5.38%,3743000,10654908,8.29%
Tillamook County General Hospital,5703930,973509,6677439,A,76085765,48418296,50114296,47960071,1696000,2154225,4.29%,727000,2881225,5.74%
Tuality Healthcare,9324843,19295100,28619943,DRG,364295435,173288900,180214900,178255400,6926000,1959500,1.08%,1753000,3712500,2.06%
Wallowa Memorial Hospital,256780,737701,994481,A,20976786,16814151,17005350,15769247,191199,1236103,7.26%,-707032,529071,3.11%
West Valley Hospital,1753680,1830200,3583880,B,30358443,20008361,20210617,19772285,202256,488332,2.41%,1171,489503,2.42%
Willamette Valley Medical Center,3737466,10546699,14284165,DRG,260549490,98495826,98744644,67712479,248818,31032165,31.42%,-10671455,20360710,20.61%
