hospital,type,gpr,npr,charity.care,bad.debt,tot.uncomp.care,tot.op.rev,tot.op.exp,net.non.op.rev,net.income,op.income,op.margin,tot.margin,other.op.rev
Sacred Heart Medical Center**,DRG,736912163,429028633,34827839,13049389,47877228,456460124,402786535,24449462,70831827,46382365,10.1613180563391%,14.7287201299414%,
Salem Hospital,DRG,639670292,353194827,28012857,19995105,48007962,367858777,364667201,13990678,17182254,3191576,0.867609038998137%,4.49974558690938%,
Samaritan Albany General Hospital,DRG,146992774,76469889,3457363,5997006,9454369,77940429,71566130,450623,6824922,6374299,8.17842431942477%,8.70625132062267%,
Samaritan Lebanon Community Hospital,B,96896738,54733304,1769981,4337793,6107774,55604321,55512357,976129,1065095,88963,0.159992961698067%,1.88244349417511%,
Samaritan North Lincoln Hospital,B,68627143,38427354,828526,4334879,5163405,39987391,38495220,73885,1566056,1492171,3.73160379480622%,3.90915157070883%,
Samaritan Pacific Communities Hospital,B,85338124,50165425,1360872,3236312,4597184,51615941,49440318,343938,2519561,2175623,4.21502147950766%,4.84905093793617%,
Santiam Memorial Hospital,B,35351550,20856778,568387,2511044,3079431,21042310,19534880,314560,1821990,1507430,7.16380473436614%,8.53116584967741%,
Silverton Hospital,B,131000929,61961393,7835660,5215173,13050833,64829652,67714673,451893,-2433128,-2885021,-4.45015654256481%,-3.72712992622953%,
Southern Coos Hospital and Health Center,B,17235033,13283131,221517,783739,1005256,13310048,13826506,691529,175071,-516458,-3.88021140119104%,1.25036629802486%,
St. Anthony Hospital,A,67416512,37435423,2734473,1857247,4591720,39151115,32684900,5343093,11809308,6466215,16.5160430296813%,26.5412253208328%,
St. Charles Medical Center (Bend),DRG,505908376,282323444,18271750,15356903,33628653,296928349,286221121,6968379,17675607,10707228,3.60599721652041%,5.81632027311594%,
St. Charles Medical Center (Redmond),B,64807357,35167013,1957544,3438328,5395872,35650062,41286329,292563,-5343704,-5636267,-15.8099781144841%,-14.8673170087048%,
St. Elizabeth Health Services,A,37935050,21332245,1387934,1727698,3115632,22112925,23245246,-32709,-1165031,-1132321,-5.12062967698755%,-5.27635689795788%,
Three Rivers Community Hospital and Health Center,DRG,233325321,102345615,11390149,7015232,18405381,103440664,97766917,5641,5679388,5673747,5.48502569550404%,5.49017966373956%,
Tillamook County General Hospital,A,61577456,37713651,5774849,1069102,6843951,39937874,39619673,0,318201,318201,0.796739956663692%,0.796739956663692%,
Tuality Healthcare,DRG,316132655,142546900,5028109,13080800,18108909,149273400,147699200,2593300,4167500,1574200,1.0545750281028%,2.74418289197039%,
Wallowa Memorial Hospital,A,16390205,12525462,296548,425135,721683,12746496,12560087,2244933,2431342,186409,1.46243328362555%,16.2182137540057%,
West Valley Community Hospital,B,19303932,11980990,198558,1596314,1794872,12252980,13699237,39174,-1407083,-1446257,-11.8033082564405%,-11.4470010707643%,
Willamette Falls Hospital,DRG,153227540,77749811,2529501,7281326,9810827,81445009,81689463,1701723,1457269,-244454,-0.300146077705019%,1.75264735600192%,
Willamette Valley Medical Center,DRG,194458746,73945833,3794358,7055280,10849638,74358885,65626910,-28634,8703341,8731975,11.7430149739335%,11.7090160236375%,
