hospital,type,gpr,npr,other.op.rev,tot.op.rev,tot.op.exp,op.income,op.margin,net.non.op.rev,net.income,tot.margin,charity.care,bad.debt,tot.uncomp.care
Santiam Memorial Hospital,B,75341184,37431343,718006,38149349,40783950,-2634601,-6.90601823900062%,113266,-2521335,-6.58955223002923%,783971,2037522,2821493
Silverton Hospital,B,207011130,108902889,6933433,115836322,117072236,-1235914,-1.06694858629921%,-406274,-1642188,-1.42266942486241%,7245123,828899,8074022
Sky Lakes Medical Center,DRG,499578624,188278660,12264424,200543084,183204151,17338933,8.64598900852647%,2262052,19600985,9.66493521150273%,11662310,15963751,27626061
Southern Coos Hospital and Health Center,B,19527336,13553039,2297514,15850553,14454695,1395858,8.80636782830227%,789341,2185199,13.1322891840537%,154783,878322,1033105
St. Alphonsus Medical Center-Baker City,A,53682326,31341047,593847,31934894,33171481,-1236587,-3.87221263361638%,209382,-1027205,-3.19560782765802%,1033940,1350026,2383966
St. Alphonsus Medical Center-Ontario,A,140833615,56831208,3652390,60483598,61819217,-1335619,-2.20823337923779%,1274689,-60930,-0.0986588245234198%,5512586,3978113,9490699
St. Anthony Hospital,A,106387857,58249613,21881,58271494,51717610,6553884,11.2471528531601%,-4822083,1731801,3.24007499352986%,1879091,2913388,4792479
St. Charles Medical Center-Bend,DRG,962258044,404401359,58641720,463043079,413009510,50033569,10.805381025898%,716071,50749640,10.9431026859524%,13387649,3496018,16883667
St. Charles Medical Center-Madras,B,44452211,21012882,6321921,27334803,28219289,-884486,-3.23575040946884%,48545,-835941,-3.05273482263747%,998428,707856,1706284
St. Charles Medical Center-Redmond,B,140985821,56695108,25225479,81920587,71046423,10874164,13.2740308611314%,59637,10933801,13.3371201815696%,2624970,1360062,3985032
Tillamook Regional Medical Center,A,103244478,62591143,2030511,64621654,61815621,2806033,4.34224880718776%,-1346938,1459095,2.30596846930139%,3246625,1089327,4335952
Tuality Healthcare,DRG,394319016,159179200,14396900,173576100,173632100,-56000,-0.0322625061860475%,2003600,1947600,1.10923984948146%,9795033,11578500,21373533
Wallowa Memorial Hospital,A,21025891,16110853,453062,16563915,16153822,410093,2.47582168829048%,246445,656538,3.90555585960086%,224609,277962,502571
West Valley Community Hospital,B,43904228,22541103,213427,22754530,20838525,1916005,8.42032333781449%,1856,1917861,8.42779253261041%,1359292,1688716,3048008
Willamette Valley Medical Center,DRG,305216809,92766441,369373,93135814,62435144,30700670,32.963334598654%,0,30700670,32.963334598654%,1087956,4381652,5469608
