hospital,type,gpr,npr,charity.care,bad.debt,tot.uncomp.care,tot.op.rev,tot.op.exp,op.income,op.margin,net.non.op.rev,net.income,tot.margin,other.op.rev
West Valley Community Hospital,B,28471819,19567652,1329489,2001122,3330611,19714106,18738917,975189,4.94665596299421%,2596,977785,4.95982419897712%,
Adventist Medical Center,DRG,554522000,225379000,19712000,15596000,35308000,254696000,247261000,7435000,2.91916637874172%,0,7435000,2.91916637874172%,
Bay Area Hospital,DRG,274117581,117270052,6976401,9408188,16384589,118744899,120453178,-1708279,-1.43861253357923%,3879501,2171222,1.82847601731507%,
Good Samaritan Regional Medical Center (Corvallis),DRG,470847998,254367287,17007975,3676012,20683987,262727029,256544694,6182335,2.35314007223825%,831442,7013777,2.66960617896684%,
Legacy Emanuel Hospital,DRG,1034999000,506710000,63604300,32233251,95837551,521659000,523972000,-2313000,-0.443393097789936%,-19828000,-22141000,-4.24434352709337%,
Legacy Good Samaritan Hospital and Medical Center,DRG,578213000,274215000,27987814,10954096,38941910,277517000,268590000,8927000,3.21673987539502%,-15538000,-6611000,-2.38219640598594%,
Legacy Meridian Park Hospital,DRG,309732000,146492000,11677465,7290190,18967655,147288000,129707000,17581000,11.936478192385%,-26373000,-8792000,-5.96925750909782%,
Legacy Mt. Hood Medical Center,DRG,199758000,87704000,16170138,11199401,27369539,88094000,86837000,1257000,1.42688491838264%,-1710000,-453000,-0.514223443140282%,
McKenzie-Willamette Medical Center,DRG,255560777,112882940,4072890,11651284,15724174,115345021,103191579,12153442,10.5365987145644%,-8387619,3765823,3.26483359866916%,
Mercy Medical Center,DRG,407000000,159183000,18077845,14603000,32680845,162621000,156851000,5770000,3.54812724063928%,-3805000,1965000,1.20833102735809%,
OHSU Hospital,DRG,1716769778,899010245,60529803,44658592,105188395,954871849,898290081,56581768,5.92558761254255%,2129496,58711264,6.1486014130049%,
Providence Medford Medical Center,DRG,367665229,145179045,32846338,4510900,37357238,150139349,139594036,10545313,7.02368371132341%,-646021,9899292,6.59340277278011%,
Providence Milwaukie Hospital,DRG,170028572,86957292,17343528,5548865,22892393,88238221,81040275,7197946,8.15740154144767%,-618503,6579443,7.45645472612146%,
Providence Portland Medical Center,DRG,1088336496,553280965,82935261,13214083,96149344,590280353,576571351,13709002,2.32245608892898%,-82833,13626169,2.30842326544451%,
Providence St. Vincent Medical Center,DRG,1266823424,688519261,81540243,12785441,94325684,706272346,646930866,59341480,8.40206760693417%,-5881475,53460005,7.56931873416434%,
Rogue Valley Medical Center,DRG,698349000,328014000,24143256,13454620,37597876,338783000,312159000,26624000,7.85871782232284%,422296,27046296,7.98336870504128%,
Sacred Heart Medical Center Eugene,DRG,184156531,98997853,17986864,198371,18185235,101054111,111797361,-10743250,-10.6311855041701%,1484076,-9259174,-9.1625901295594%,
Sacred Heart Riverbend,DRG,689448006,389514736,22978419,23766460,46744879,401673201,405956210,-4283009,-1.0662919481153%,6488208,2205199,0.549003267957625%,
Salem Hospital,DRG,858712706,464350077,42558606,29657872,72216478,483128819,475971115,7157704,1.48153116073997%,4905114,12062818,2.4968119320574%,
Samaritan Albany General Hospital,DRG,184103917,98032815,7125437,1537612,8663049,105903698,99735652,6168046,5.82420266382011%,387500,6555546,6.19010112375868%,
Sky Lakes Medical Center,DRG,302792966,144529574,9777883,17438791,27216674,148635789,146699623,1936166,1.30262436323462%,-829678,1106488,0.744429055373736%,
St. Charles Medical Center (Bend),DRG,639771615,338529813,25218000,21438487,46656487,376421498,349659340,26762158,7.10962528500431%,237453,26999611,7.17270696372395%,
Three Rivers Community Hospital and Health Center,DRG,275404000,124111000,12957264,8303417,21260681,125356000,119556000,5800000,4.62682280864099%,1763000,7563000,6.03321739685376%,
Tuality Healthcare,DRG,347407200,163623100,8856070,17700200,26556270,170362000,172126700,-1764700,-1.03585306582454%,502700,-1262000,-0.740775525058405%,
Willamette Falls Hospital,DRG,192731015,95850919,4368067,6136268,10504335,99210621,97630490,1580131,1.59270346669839%,-1222358,357773,0.360619655833018%,
Willamette Valley Medical Center,DRG,261711298,106210902,2931808,10463881,13395689,106886290,81356953,25529337,23.8845758422338%,-10730987,14798350,13.8449468121683%,
