hospital,type,gpr,npr,other.op.rev,tot.op.rev,tot.op.exp,op.income,op.margin,net.non.op.rev,net.income,tot.margin,charity.care,bad.debt,tot.uncomp.care
Providence Milwaukie Hospital,,174563713,84628752,2345099,86973851,81386112,5587739,6.42461951006401%,0,5587739,6.42461951006401%,12784133,2675143,15459276
Providence Newberg Medical Center,,163794119,83630999,4579555,88210554,74182997,14027557,15.9023567633415%,0,14027557,15.9023567633415%,11294367,1491270,12785637
Providence Portland Medical Center,,1172821704,594306026,55433705,649739731,607691124,42048607,6.47160778290161%,-1644281,40404326,6.23431718275448%,62192571,9546043,71738614
Providence Seaside Hospital,,86334596,47709992,732191,48442183,50283165,-1840982,-3.8003696076207%,0,-1840982,-3.8003696076207%,6043587,1025216,7068803
Providence St. Vincent Medical Center,,1443661427,778657378,15884950,794542328,686358779,108183549,13.6158320567158%,-602792,107580757,13.5502455945209%,64300108,12664869,76964977
Providence Willamette Falls Medical Center,,190947341,94099135,2284622,96383757,88942742,7441015,7.72019604921605%,0,7441015,7.72019604921605%,12246768,3900204,16146972
Salem Hospital,,1106007621,531820196,22000526,553820722,532174810,21645912,3.90846913814106%,39721737,61367649,10.339218040676%,56271282,39488592,95759874
Samaritan Albany General Hospital,,283575075,143689603,9443781,153133384,156911020,-3777636,-2.46689252292629%,574299,-3203337,-2.08404481641949%,9566177,6632044,16198221
Samaritan Lebanon Community Hospital,,156902161,77704094,5882321,83586415,85158110,-1571695,-1.88032349515169%,1001205,-570490,-0.674436755638709%,5446720,4823125,10269845
Samaritan North Lincoln Hospital,,76696692,43054811,3073001,46127812,45667290,460522,0.998360815379667%,77702,538224,1.1648479876233%,2748363,2827413,5575776
Samaritan Pacific Communities Hospital,,131191897,66800248,2437926,69238174,67335753,1902421,2.74764756216708%,250520,2152941,3.09826084801651%,4515230,4298389,8813619
Santiam Memorial Hospital,,69539308,34711577,887617,35599194,38818184,-3218990,-9.04231146356853%,79194,-3139796,-8.80027427248114%,1526368,3483382,5009750
Silverton Hospital,,198429789,89999987,3780034,93780021,96762943,-2982922,-3.18076490940432%,-260987,-3243909,-3.46871525640438%,11483918,5465077,16948995
Sky Lakes Medical Center,,446602407,170348990,7786332,178135322,166693709,11441613,6.42298948436515%,2572391,14014004,7.75506687974077%,15764014,14128143,29892157
Southern Coos Hospital and Health Center,,18038045,13042040,554520,13596560,14053724,-457164,-3.36235047688533%,812503,355339,2.46607985543543%,249335,1209696,1459031
St. Alphonsus Medical Center-Baker City,,52313718,30068969,537162,30606131,31554196,-948065,-3.09763099426059%,294778,-653287,-2.11413521848176%,1451878,1614404,3066282
St. Alphonsus Medical Center-Ontario,,128804379,56387356,2745444,59132800,62212330,-3079530,-5.20782036365604%,1410227,-1669303,-2.7572176065792%,5639951,3753261,9393212
St. Anthony Hospital,,101324457,50173774,1623727,51797501,45381648,6415853,12.386414163108%,7089925,13505778,22.9349097377766%,2783800,3667686,6451486
St. Charles Medical Center-Bend,,859888361,383158346,33265537,416423883,389761038,26662845,6.40281359654869%,592818,27255663,6.53586845194481%,26955054,18885983,45841037
St. Charles Medical Center-Madras,,43548580,24052580,1683007,25735587,27104316,-1368729,-5.31842930180687%,-21221,-1389950,-5.40534423442522%,1754179,2244190,3998369
St. Charles Medical Center-Redmond,,118717612,58659749,10937486,69597235,64435412,5161823,7.41670699992607%,54027,5215850,7.48852188780154%,6165118,4005579,10170697
Tillamook Regional Medical Center,,90396248,53610532,2743000,56353532,55096000,1257532,2.23150520538801%,-587000,670532,1.20239142717356%,6414760,1185084,7599844
Tuality Healthcare,,376110301,149470700,11315100,160785800,164069100,-3283300,-2.04203356266536%,4448800,1165500,0.705360741636437%,12199681,16264700,28464381
Wallowa Memorial Hospital,,22546375,16647742,556560,17204302,17422966,-218664,-1.27098443168459%,378018,159354,0.906330905136524%,296949,503827,800776
West Valley Community Hospital,,38910641,20462080,438021,20900101,19914823,985278,4.71422602216133%,2246,987524,4.72446467375171%,2191331,2563722,4755053
Willamette Valley Medical Center,,284630450,84796034,359869,85155903,59584244,25571659,30.0292265117546%,0,25571569,30.0291208232505%,2307082,7958683,10265765
